Total number of cases: 906
Finished cases       : 906
Timed out cases      : 774
 |                                                             Case name | Pass/Fail | Preparation Time | Solve time | 
 |                                       QBFEval2017_ethernet-fixpoint-3 |    FAILED |              1.0 |     1200.0 | 
 |                                       QBFEval2017_ethernet-fixpoint-4 |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_exquery_query42_1344n |      PASS |              0.0 |      150.0 | 
 |                                     QBFEval2017_falsequ_query42_1344n |      PASS |              0.0 |        0.0 | 
 |                                                  QBFEval2017_floor128 |      PASS |              1.0 |       64.0 | 
 |                                           QBFEval2017_genbuf12b4y.sat |    FAILED |              1.0 |     1200.0 | 
 |                                           QBFEval2017_genbuf14b4y.sat |    FAILED |              1.0 |     1200.0 | 
 |                                            QBFEval2017_genbuf7b4n.sat |    FAILED |              0.0 |     1200.0 | 
 |                                            QBFEval2017_genbuf8b4n.sat |    FAILED |              1.0 |     1200.0 | 
 |                                          QBFEval2017_GuidanceService2 |    FAILED |              0.0 |     1200.0 | 
 |                                           QBFEval2017_GuidanceService |    FAILED |              0.0 |     1200.0 | 
 |                                           QBFEval2017_intermediate256 |    FAILED |              0.0 |     1200.0 | 
 |                                          QBFEval2017_IssueServiceImpl |    FAILED |              0.0 |     1200.0 | 
 |                                       QBFEval2017_itc-b13-fixpoint-10 |    FAILED |              0.0 |     1200.0 | 
 |                                        QBFEval2017_itc-b13-fixpoint-1 |    FAILED |              0.0 |     1200.0 | 
 |                                        QBFEval2017_itc-b13-fixpoint-2 |    FAILED |              0.0 |     1200.0 | 
 |                                        QBFEval2017_itc-b13-fixpoint-3 |    FAILED |              0.0 |     1200.0 | 
 |                                        QBFEval2017_itc-b13-fixpoint-4 |    FAILED |              0.0 |     1200.0 | 
 |                                        QBFEval2017_itc-b13-fixpoint-6 |    FAILED |              0.0 |     1200.0 | 
 |                                        QBFEval2017_itc-b13-fixpoint-7 |    FAILED |              1.0 |     1200.0 | 
 |                                        QBFEval2017_itc-b13-fixpoint-8 |    FAILED |              1.0 |     1200.0 | 
 |                                        QBFEval2017_itc-b13-fixpoint-9 |    FAILED |              1.0 |     1200.0 | 
 |                                          QBFEval2017_IterationService |    FAILED |              1.0 |     1200.0 | 
 |                                               QBFEval2017_kenflashp04 |      PASS |              1.0 |       15.0 | 
 |                               QBFEval2017_load_2c_comp_comp7_REAL.sat |    FAILED |              0.0 |     1200.0 | 
 |                               QBFEval2017_load_3c_comp_comp6_REAL.sat |    FAILED |              2.0 |     1200.0 | 
 |                               QBFEval2017_load_4c_comp_comp4_REAL.sat |    FAILED |              1.0 |     1200.0 | 
 |                                QBFEval2017_load_full_3_comp5_REAL.sat |    FAILED |              1.0 |     1200.0 | 
 |                                              QBFEval2017_LoginService |    FAILED |              1.0 |     1200.0 | 
 |                               QBFEval2017_ltl2dba_C2-8_comp4_REAL.sat |    FAILED |              0.0 |     1200.0 | 
 |                                 QBFEval2017_ltl2dba_E6_comp2_REAL.sat |    FAILED |              1.0 |     1200.0 | 
 |                                 QBFEval2017_ltl2dba_Q4_comp4_REAL.sat |    FAILED |              1.0 |     1200.0 | 
 |                               QBFEval2017_ltl2dba_U1-4_comp4_REAL.sat |    FAILED |              1.0 |     1200.0 | 
 |                                                 QBFEval2017_mult9.sat |    FAILED |              0.0 |     1200.0 | 
 |                             QBFEval2017_mult_bool_matrix_12_13_11.sat |    FAILED |              1.0 |     1200.0 | 
 |                             QBFEval2017_mult_bool_matrix_18_18_18.sat |    FAILED |              1.0 |     1200.0 | 
 |                              QBFEval2017_mult_bool_matrix_dyn_7_7.sat |    FAILED |              0.0 |     1200.0 | 
 |                              QBFEval2017_mult_bool_matrix_dyn_9_5.sat |    FAILED |              0.0 |     1200.0 | 
 |                                              QBFEval2017_neclaftp2002 |    FAILED |              0.0 |     1200.0 | 
 |                                  QBFEval2017_NotificationServiceImpl2 |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_nreachq_query11_1344n |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_nreachq_query42_1344n |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_nreachq_query54_1344n |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_ntrivil_query42_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_nxquery_query42_1344n |      PASS |              0.0 |      156.0 | 
 |                                     QBFEval2017_nxquery_query50_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_oski3ub5i_c0to511.sat |    FAILED |              1.0 |     1200.0 | 
 |                                      QBFEval2017_oski3ub5i_c0to63.sat |    FAILED |              1.0 |     1200.0 | 
 |                                            QBFEval2017_pdtpmsrotate32 |      PASS |              0.0 |      613.0 | 
 |                                              QBFEval2017_PhaseService |    FAILED |              1.0 |     1200.0 | 
 |                                         QBFEval2017_pi-bus-fixpoint-2 |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_query01_query42_1344n |      PASS |              0.0 |      280.0 | 
 |                                     QBFEval2017_query02_query42_1344n |      PASS |              0.0 |      294.0 | 
 |                                     QBFEval2017_query02_query44_1344n |      PASS |              0.0 |      278.0 | 
 |                                     QBFEval2017_query03_query42_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_query04_query25_1344n |      PASS |              0.0 |      170.0 | 
 |                                     QBFEval2017_query04_query42_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_query05_query31_1344n |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_query05_query42_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_query06_query42_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_query07_query42_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_query08_query42_1344n |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_query09_query42_1344n |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_query10_query06_1344n |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_query10_query34_1344n |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_query10_query42_1344n |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_query10_query45_1344n |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_query11_query42_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_query15_query42_1344n |      PASS |              0.0 |        8.0 | 
 |                                     QBFEval2017_query21_query42_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_query23_query42_1344n |      PASS |              0.0 |       49.0 | 
 |                                     QBFEval2017_query24_query42_1344n |      PASS |              0.0 |       14.0 | 
 |                                     QBFEval2017_query25_query42_1344n |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_query26_query42_1344n |      PASS |              0.0 |      305.0 | 
 |                                     QBFEval2017_query27_query42_1344n |      PASS |              0.0 |      281.0 | 
 |                                     QBFEval2017_query30_query42_1344n |      PASS |              0.0 |       10.0 | 
 |                                     QBFEval2017_query31_eequery_1344n |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_query31_query42_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_query31_query50_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_query33_query42_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_query33_query45_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_query33_query51_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_query33_query57_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_query34_query11_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_query34_query42_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_query36_query25_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_query36_query42_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_query42_query42_1344n |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_query42_query45_1344n |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_query42_query60_1344n |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_query44_query42_1344n |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_query45_query42_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_query48_exquery_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_query48_query42_1344n |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_query49_ntrivil_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_query49_query42_1344n |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_query50_query06_1344n |    FAILED |              0.0 |     1200.0 | 
